d0,d1,y
0.8847741713523916,0.05049878991795054,1.0
0.8553051723952566,0.12410719556106488,1.0
0.8681044585165515,0.24601853491529427,1.0
0.877920290712051,0.26748125848533144,1.0
0.6725242708008558,0.2588335989611003,1.0
0.8328136927096212,0.10394309662947877,1.0
0.809612634792986,0.12300926745764713,1.0
0.8095857568296905,0.15993152706451802,1.0
0.7685753604334878,0.17010802195856206,1.0
0.7203186651328309,0.16134230564901716,1.0
0.7555771773838066,0.2133168053833894,1.0
0.8275509874963715,0.16894516262322176,1.0
0.8107361336587359,0.2292780827578065,1.0
0.839199896788621,0.19054955433563545,1.0
0.8495532882500295,0.18452275544536922,1.0
0.7477986948061024,0.13955492591936722,1.0
0.8067205659423952,0.1949530724278378,1.0
0.8346628965843484,0.22116758160675284,1.0
0.7631245094771698,0.24786612360545424,1.0
0.8860696891832325,0.202638569151762,1.0
0.8547461107587111,0.07660114515081755,1.0
0.7871749110339414,0.2770497609350097,1.0
0.8124832012729404,0.13530488164807272,1.0
0.8408985840688936,0.21003482675166754,1.0
0.7723436508875103,0.0,1.0
0.7061432272908088,0.3123487397438168,1.0
0.8306150753120531,0.0994628416268225,1.0
0.8113220732585767,0.1265568738563249,1.0
0.7424553557029663,0.14740570214273066,1.0
0.8808768666745509,0.18692521102650375,1.0
0.835705761560212,0.10584971371229561,1.0
0.8047961037704406,0.22647423410660528,1.0
0.8381462806274391,0.04879286937016705,1.0
0.8128379903884403,0.166471872970899,1.0
0.7747142872501693,0.1739330618027271,1.0
0.7154161246277402,0.14882828640576118,1.0
0.7844871147043961,0.06039785136650729,1.0
0.8261909625536216,0.1875332034708695,1.0
0.7545826927418748,0.11106782362316274,1.0
0.7528248739423521,0.20619207838970544,1.0
0.8802640491114145,0.15484327961749603,1.0
0.844183071183598,0.2164984357475946,1.0
0.8463440594325524,0.2107667788206127,1.0
0.6920269209680368,0.182114397024969,1.0
0.7779127648823283,0.18209668850717195,1.0
0.8727489705740058,0.15432973260138128,1.0
0.8257609151408943,0.20946225134289592,1.0
0.697617537333491,0.11378312968537867,1.0
0.8552406652833475,0.1601145150817543,1.0
0.8123273090858267,0.16121834602443774,1.0
0.864110393170847,0.14343309131692344,1.0
0.7136421790502403,0.14272475060504103,1.0
0.856219023147302,0.1357653031107963,1.0
0.7845784997796007,0.19961631544773037,1.0
0.8313461559136894,0.2542884127265215,1.0
0.7002193241804909,0.23234165633669795,1.0
